Arkansas,Ashley County,Both,2004,29.69,26.52,32.74,23.51,20.62,26.21
Ohio,Ashtabula County,Both,2004,32.09,28.96,35.5,25.92,22.83,29.09
Washington,Asotin County,Both,2004,27.29,25.25,29.42,21.65,19.84,23.71
Louisiana,Assumption Parish,Both,2004,31.02,27.91,33.89,24.9,21.98,27.74
Texas,Atascosa County,Both,2004,23.24,20.47,26.21,15.95,13.86,18.5
Kansas,Atchison County,Both,2004,25.93,23.24,28.86,21.15,18.32,24.02
Missouri,Atchison County,Both,2004,26.62,23.61,29.67,21.56,18.67,24.49
Ohio,Athens County,Both,2004,25.98,22.81,29.39,19.79,17.3,22.63
Georgia,Atkinson County,Both,2004,28.18,25.24,31.42,21.45,18.9,24.42
New Jersey,Atlantic County,Both,2004,27.26,25.54,29.08,20,18.39,21.73
Oklahoma,Atoka County,Both,2004,32.67,29.42,35.87,25.17,22.27,28.28
Mississippi,Attala County,Both,2004,27.96,24.99,31.07,21.74,18.94,24.71
Missouri,Audrain County,Both,2004,31.59,28.35,34.98,25.88,22.77,29.02
Iowa,Audubon County,Both,2004,24.91,22.06,28.15,20.58,17.93,23.55
Ohio,Auglaize County,Both,2004,26.82,23.47,30.23,21.72,18.66,24.99
Virginia,Augusta County/Waynesboro City,Both,2004,26.32,23.84,29.31,21.63,19.1,24.53
South Dakota,Aurora County,Both,2004,22.69,20.12,25.42,17.53,15.27,20.1
Texas,Austin County,Both,2004,23.53,20.76,26.73,17.48,14.98,20.22
Alabama,Autauga County,Both,2004,27.09,24.61,30.2,21.33,19.06,24.03
North Carolina,Avery County,Both,2004,28.12,25,31.1,22.46,19.73,25.22
Louisiana,Avoyelles Parish,Both,2004,31.44,28.79,34.3,24.64,21.77,27.41
Colorado,Baca County,Both,2004,24.89,21.95,28.48,19.58,17.1,22.86
Georgia,Bacon County,Both,2004,30.31,27.18,33.91,24.6,21.67,27.71
Texas,Bailey County,Both,2004,24.15,21.24,27.46,17.34,14.91,20.04
Florida,Baker County,Both,2004,31.15,28.42,34.06,24.83,22.24,27.58
Georgia,Baker County,Both,2004,25.71,22.57,29.2,19.98,17.13,23.17
Oregon,Baker County,Both,2004,25.25,22.68,28.29,19.3,16.97,21.83
Alabama,Baldwin County,Both,2004,25.55,23.29,28.01,19.94,17.79,22.29
Georgia,Baldwin County,Both,2004,26.61,23.66,29.76,20.81,18.25,23.75
Kentucky,Ballard County,Both,2004,32.38,29,35.75,27.29,24.09,30.61
Maryland,Baltimore City,Both,2004,30.24,28.06,32.18,23.09,21.11,25.16
Maryland,Baltimore County,Both,2004,24.34,23,25.72,18.17,16.9,19.65
South Carolina,Bamberg County,Both,2004,27.37,24.46,30.5,21.1,18.56,23.86
Texas,Bandera County,Both,2004,23.52,20.57,26.57,17.24,14.81,19.86
Georgia,Banks County,Both,2004,28.35,25.4,31.75,23.18,20.32,26.5
Nebraska,Banner County,Both,2004,20.1,17.48,22.95,15.33,13.28,17.73
Idaho,Bannock County,Both,2004,21.68,20.2,23.42,16.78,15.24,18.43
Michigan,Baraga County,Both,2004,31.76,28.2,35.46,23.83,20.54,27.11
Kansas,Barber County,Both,2004,23,20.35,25.96,18.1,15.85,20.75
Alabama,Barbour County,Both,2004,28.81,25.64,32.03,22.02,19.27,25.05
West Virginia,Barbour County,Both,2004,29.63,26.6,32.94,24.14,21.23,27.41
North Dakota,Barnes County,Both,2004,22.96,20.51,25.62,18.08,15.86,20.58
Massachusetts,Barnstable County,Both,2004,22.71,20.86,24.5,17.04,15.25,18.68
South Carolina,Barnwell County,Both,2004,28.3,25.45,31.33,22.29,19.7,24.93
Kentucky,Barren County,Both,2004,33.08,30.13,35.8,28.06,25.12,30.87
Wisconsin,Barron County,Both,2004,27.61,24.7,30.59,22.19,19.47,25.09
Georgia,Barrow County,Both,2004,28.51,25.61,31.49,23.72,20.93,26.78
Michigan,Barry County,Both,2004,25.54,22.95,28.52,20.63,18.25,23.38
Missouri,Barry County,Both,2004,30.18,26.98,33.53,24.77,21.87,28.11
Indiana,Bartholomew County,Both,2004,26.54,24.16,29.42,21.78,19.5,24.65
Kansas,Barton County,Both,2004,26.31,23.74,28.81,20.32,18.07,22.69
Missouri,Barton County,Both,2004,29.54,26.38,33.27,24.63,21.49,28.03
Georgia,Bartow County,Both,2004,27.5,24.88,30.26,21.78,19.38,24.38
Texas,Bastrop County,Both,2004,25.63,22.82,28.89,18.79,16.32,21.38
Missouri,Bates County,Both,2004,31.94,28.86,35.29,26.36,23.48,29.64
Kentucky,Bath County,Both,2004,36.1,33.31,39.14,30.83,27.93,33.7
Virginia,Bath County,Both,2004,27.76,24.7,30.92,23.17,20.44,26.46
Arkansas,Baxter County,Both,2004,29.97,27.16,32.77,23.4,20.65,26.08
Florida,Bay County,Both,2004,28.7,26.18,31.46,22.49,20.17,25.18
Michigan,Bay County,Both,2004,25.49,23.17,28.24,20.14,17.96,22.59
Wisconsin,Bayfield County,Both,2004,24.52,21.79,27.58,18.13,15.61,20.74
Texas,Baylor County,Both,2004,24.97,21.95,28.19,19.52,16.91,22.66
South Dakota,Beadle County,Both,2004,24.19,22.07,26.6,19.4,17.32,21.62
Idaho,Bear Lake County,Both,2004,19.91,17.56,22.66,15.75,13.62,18.14
North Carolina,Beaufort County,Both,2004,26,23.47,28.57,20.45,17.97,22.84
South Carolina,Beaufort County,Both,2004,21.85,20.11,23.73,15.15,13.65,16.86
Louisiana,Beauregard Parish,Both,2004,29.02,26.32,31.7,22.83,20.33,25.49
Oklahoma,Beaver County,Both,2004,23.87,21.06,26.78,18.41,15.97,20.95
Pennsylvania,Beaver County,Both,2004,28.77,26.42,31.58,23.33,20.95,25.97
Utah,Beaver County,Both,2004,21.47,19.01,24.38,16.91,14.64,19.59
Montana,Beaverhead County,Both,2004,20.06,17.83,22.41,15.52,13.5,17.67
Minnesota,Becker County,Both,2004,26.33,23.46,29.66,19.52,16.93,22.5
Oklahoma,Beckham County,Both,2004,31.26,28.27,34.39,24.7,21.85,27.75
Pennsylvania,Bedford County,Both,2004,28.07,25.22,31.35,21.61,19.25,24.63
Tennessee,Bedford County,Both,2004,29.81,26.67,33.24,24.27,21.35,27.41
Virginia,Bedford County/Bedford City,Both,2004,25.86,23.33,28.77,21.21,18.9,23.85
Texas,Bee County,Both,2004,24.33,21.68,27.39,16.74,14.52,19.32
New Hampshire,Belknap County,Both,2004,24.9,23.04,26.8,19.5,17.8,21.23
Kentucky,Bell County,Both,2004,37.97,34.81,41.34,31.95,28.65,35.24
Texas,Bell County,Both,2004,26.26,23.83,29.09,19.16,16.95,21.6
Ohio,Belmont County,Both,2004,31.25,27.63,34.69,25.19,21.86,28.63
Minnesota,Beltrami County,Both,2004,27.77,24.89,30.91,19.53,16.96,22.15
Georgia,Ben Hill County,Both,2004,28.94,25.87,32.01,23.06,20.37,25.81
Idaho,Benewah County,Both,2004,28.85,25.91,31.83,22.72,20.04,25.59
South Dakota,Bennett County,Both,2004,34.28,31.2,37.5,23.03,20.19,26.02
Vermont,Bennington County,Both,2004,23.09,21.33,24.84,17.93,16.34,19.58
North Dakota,Benson County,Both,2004,32.75,29.46,36.31,23.13,20.46,26.43
Colorado,Bent County,Both,2004,26.89,23.97,30.02,20.27,17.56,23.2
Arkansas,Benton County,Both,2004,26.02,24.14,27.88,20.14,18.34,22.11
Indiana,Benton County,Both,2004,28.29,25.46,31.49,22.41,19.66,25.68
Iowa,Benton County,Both,2004,24.76,21.91,27.62,19.83,17.45,22.5
Minnesota,Benton County,Both,2004,24.43,21.65,27.52,19.91,17.38,22.74
Mississippi,Benton County,Both,2004,30.95,27.79,34.24,24.43,21.43,27.84
Missouri,Benton County,Both,2004,30.78,27.43,34.08,25.19,22.25,28.59
Oregon,Benton County,Both,2004,15.54,13.99,17.49,10.87,9.54,12.5
Tennessee,Benton County,Both,2004,32.06,28.84,35.34,26.26,22.91,29.46
Washington,Benton County,Both,2004,20.46,18.91,22.09,15.16,13.74,16.8
